ID_Consumidor,Genero,Idoso,Parceiro,Dependentes,Nro_Meses_Cliente_na_Empresa,Servico_Telefone,Muitas_Linhas_Telefone,Servico_Internet,Seguranca_OnLine,Backup_OnLine,Dispositivo_Protecao,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Contrato,Faturamento_Sem_Papel,Metodo_Pagamento,Valor_Mensal,Valor_Total,Rotatividade
9867-JCZSP,F,0,S,S,17,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,20.75,418.25,N
4671-VJLCL,F,0,N,N,63,S,S,DSL,S,S,S,S,S,N,Bi-Anual,S,Cartao_Credito,79.85,4861.45,N
4080-IIARD,F,0,S,N,13,S,S,DSL,S,S,N,S,S,N,Mes-a-mes,S,Cheque_Eletronico ,76.2,981.45,N
3714-NTNFO,F,0,N,N,49,S,S,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,84.5,3906.7,N
5948-UJZLF,M,0,N,N,2,S,N,DSL,N,S,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,49.25,97.0,N
7760-OYPDY,F,0,N,N,2,S,N,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,80.65,144.15,S
7639-LIAYI,M,0,N,N,52,S,S,DSL,S,N,N,S,S,S,Bi-Anual,S,Cartao_Credito,79.75,4217.8,N
2954-PIBKO,F,0,S,S,69,S,S,DSL,S,N,S,S,N,N,Bi-Anual,S,Cartao_Credito,64.15,4254.1,N
8012-SOUDQ,F,1,N,N,43,S,S,Fibra_otica,N,S,N,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,90.25,3838.75,N
9420-LOJKX,F,0,N,N,15,S,N,Fibra_otica,S,S,N,N,S,S,Mes-a-mes,S,Cartao_Credito,99.1,1426.4,S
6575-SUVOI,F,1,S,N,25,S,S,DSL,S,N,N,S,S,N,Mes-a-mes,S,Cartao_Credito,69.5,1752.65,N
7495-OOKFY,F,1,S,N,8,S,S,Fibra_otica,N,S,N,N,N,N,Mes-a-mes,S,Cartao_Credito,80.65,633.3,S
4667-QONEA,F,1,S,S,60,S,N,DSL,S,S,S,S,N,S,Anual,S,Cartao_Credito,74.85,4456.35,N
1658-BYGOY,M,1,N,N,18,S,S,Fibra_otica,N,N,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,95.45,1752.55,S
8769-KKTPH,F,0,S,S,63,S,S,Fibra_otica,S,N,N,N,S,S,Anual,S,Cartao_Credito,99.65,6311.2,N
5067-XJQFU,M,1,S,S,66,S,S,Fibra_otica,N,S,S,S,S,S,Anual,S,Cheque_Eletronico ,108.45,7076.35,N
3957-SQXML,F,0,S,S,34,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,24.95,894.3,N
5954-BDFSG,F,0,N,N,72,S,S,Fibra_otica,N,N,S,S,S,S,Bi-Anual,S,Cartao_Credito,107.5,7853.7,N
0434-CSFON,F,0,S,N,47,S,S,Fibra_otica,N,N,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,100.5,4707.1,N
1215-FIGMP,M,0,N,N,60,S,S,Fibra_otica,N,S,N,N,S,N,Mes-a-mes,S,Transferencia_bancaria,89.9,5450.7,N
0526-SXDJP,M,0,S,N,72,N,Sem_Telefone,DSL,S,S,S,N,N,N,Bi-Anual,N,Transferencia_bancaria,42.1,2962.0,N
0557-ASKVU,F,0,S,S,18,S,N,DSL,N,N,S,S,N,N,Anual,S,Cartao_Credito,54.4,957.1,N
5698-BQJOH,F,0,N,N,9,S,S,Fibra_otica,N,N,N,N,S,S,Mes-a-mes,N,Cheque_Eletronico ,94.4,857.25,S
5122-CYFXA,F,0,N,N,3,S,N,DSL,N,S,N,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,75.3,244.1,N
8627-ZYGSZ,M,0,S,N,47,S,S,Fibra_otica,N,S,N,N,N,N,Anual,S,Cheque_Eletronico ,78.9,3650.35,N
3410-YOQBQ,F,0,N,N,31,S,N,DSL,N,S,S,S,S,S,Bi-Anual,N,Cheque_Fisico,79.2,2497.2,N
3170-NMYVV,F,0,S,S,50,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,20.15,930.9,N
7410-OIEDU,M,0,N,N,10,S,N,Fibra_otica,S,N,S,N,N,N,Mes-a-mes,S,Cheque_Fisico,79.85,887.35,N
2273-QCKXA,M,0,N,N,1,S,N,DSL,N,N,N,S,N,N,Mes-a-mes,N,Cheque_Fisico,49.05,49.05,N
0731-EBJQB,F,0,S,S,52,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Cheque_Eletronico ,20.4,1090.65,N
1891-QRQSA,M,1,S,S,64,S,S,Fibra_otica,S,N,S,S,S,S,Bi-Anual,S,Transferencia_bancaria,111.6,7099.0,N
8028-PNXHQ,M,0,S,S,62,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Transferencia_bancaria,24.25,1424.6,N
5630-AHZIL,F,0,N,S,3,S,N,DSL,S,N,N,S,N,S,Mes-a-mes,S,Transferencia_bancaria,64.5,177.4,N
2673-CXQEU,F,1,N,N,56,S,S,Fibra_otica,S,S,S,N,S,S,Anual,N,Cheque_Eletronico ,110.5,6139.5,N
6416-JNVRK,F,0,N,N,46,S,N,DSL,N,N,N,N,N,S,Anual,N,Cartao_Credito,55.65,2688.85,N
5590-ZSKRV,F,0,S,S,8,S,N,DSL,S,S,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,54.65,482.25,N
0191-ZHSKZ,M,1,N,N,30,S,N,DSL,S,S,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,74.75,2111.3,N
3887-PBQAO,F,0,S,S,45,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,S,Cartao_Credito,25.9,1216.6,N
5919-TMRGD,F,0,N,S,1,S,N,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,79.35,79.35,S
8108-UXRQN,F,0,S,S,11,N,Sem_Telefone,DSL,S,N,N,N,S,S,Mes-a-mes,N,Cheque_Eletronico ,50.55,565.35,N
9191-MYQKX,F,0,S,N,7,S,N,Fibra_otica,N,N,S,N,N,N,Mes-a-mes,S,Transferencia_bancaria,75.15,496.9,S
9919-YLNNG,F,0,N,N,42,S,N,Fibra_otica,N,S,S,S,S,S,Mes-a-mes,S,Transferencia_bancaria,103.8,4327.5,N
0318-ZOPWS,F,0,S,N,49,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Transferencia_bancaria,20.15,973.35,N
4445-ZJNMU,M,0,N,N,9,S,S,Fibra_otica,N,S,N,N,S,S,Mes-a-mes,S,Cartao_Credito,99.3,918.75,N
4808-YNLEU,F,0,S,N,35,S,N,DSL,S,N,N,N,S,N,Anual,S,Transferencia_bancaria,62.15,2215.45,N
1862-QRWPE,F,0,S,S,48,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,20.65,1057.0,N
2796-NNUFI,F,0,S,S,46,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Cheque_Fisico,19.95,927.1,N
3016-KSVCP,M,0,S,N,29,N,Sem_Telefone,DSL,N,N,N,N,S,N,Mes-a-mes,N,Cheque_Fisico,33.75,1009.25,N
4767-HZZHQ,M,0,S,S,30,S,N,Fibra_otica,N,S,S,N,N,N,Mes-a-mes,N,Transferencia_bancaria,82.05,2570.2,N
2424-WVHPL,M,1,N,N,1,S,N,Fibra_otica,N,N,N,S,N,N,Mes-a-mes,N,Cheque_Eletronico ,74.7,74.7,N
7233-PAHHL,M,0,S,S,66,S,S,DSL,S,N,S,S,S,S,Bi-Anual,S,Cheque_Fisico,84.0,5714.25,N
6067-NGCEU,F,0,N,N,65,S,S,Fibra_otica,S,S,S,N,S,S,Mes-a-mes,S,Cartao_Credito,111.05,7107.0,N
9848-JQJTX,M,0,N,N,72,S,S,Fibra_otica,N,S,S,N,S,S,Bi-Anual,S,Transferencia_bancaria,100.9,7459.05,N
8637-XJIVR,F,0,N,N,12,S,S,Fibra_otica,S,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,78.95,927.35,S
9803-FTJCG,M,0,S,S,71,S,S,DSL,S,S,N,S,N,N,Anual,S,Cartao_Credito,66.85,4748.7,N
0278-YXOOG,M,0,N,N,5,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,21.05,113.85,S
3212-KXOCR,M,0,N,N,52,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,21.0,1107.2,N
4598-XLKNJ,F,1,S,N,25,S,N,Fibra_otica,N,S,S,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,98.5,2514.5,S
6380-ARCEH,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.2,20.2,N
3679-XASPY,F,0,S,S,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Eletronico ,19.45,19.45,N
7123-WQUHX,M,0,N,N,38,S,S,Fibra_otica,N,N,S,S,S,N,Anual,N,Transferencia_bancaria,95.0,3605.6,N
5386-THSLQ,F,1,S,N,66,N,Sem_Telefone,DSL,N,S,S,N,S,N,Anual,N,Transferencia_bancaria,45.55,3027.25,N
3192-NQECA,M,0,S,N,68,S,S,Fibra_otica,N,S,S,S,S,S,Bi-Anual,S,Transferencia_bancaria,110.0,7611.85,S
6180-YBIQI,M,0,N,N,5,N,Sem_Telefone,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,24.3,100.2,N
6728-DKUCO,F,0,S,S,72,S,S,Fibra_otica,S,S,N,N,S,S,Anual,S,Cheque_Eletronico ,104.15,7303.05,N
9750-BOOHV,F,0,N,N,32,N,Sem_Telefone,DSL,S,N,N,N,N,N,Anual,N,Cheque_Fisico,30.15,927.65,N
8597-CWYHH,M,0,N,N,43,S,S,Fibra_otica,N,N,N,N,S,S,Anual,N,Cheque_Fisico,94.35,3921.3,N
2848-YXSMW,M,0,S,S,72,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cartao_Credito,19.4,1363.25,N
0486-HECZI,M,0,S,N,55,S,S,Fibra_otica,S,S,N,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,96.75,5238.9,S
4549-ZDQYY,F,0,N,N,52,S,N,DSL,S,N,S,S,N,N,Anual,N,Cartao_Credito,57.95,3042.25,N
5712-AHQNN,F,0,N,N,43,S,N,Fibra_otica,N,S,S,N,S,N,Mes-a-mes,S,Cheque_Eletronico ,91.65,3954.1,N
4846-WHAFZ,F,1,S,N,37,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,76.5,2868.15,S
5256-SKJGO,F,0,S,S,64,N,Sem_Telefone,DSL,N,S,N,S,S,S,Bi-Anual,S,Cheque_Eletronico ,54.6,3423.5,N
3071-VBYPO,M,0,S,S,3,S,N,Fibra_otica,S,S,N,N,S,N,Mes-a-mes,N,Cheque_Eletronico ,89.85,248.4,N
9560-BBZXK,F,0,N,N,36,N,Sem_Telefone,DSL,S,N,N,N,N,N,Bi-Anual,N,Transferencia_bancaria,31.05,1126.35,N
5299-RULOA,F,0,S,S,10,S,S,Fibra_otica,S,N,N,N,S,S,Mes-a-mes,S,Cheque_Eletronico ,100.25,1064.65,S
8402-OOOHJ,F,0,N,N,41,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,20.65,835.15,N
9445-ZUEQE,M,0,S,S,27,S,S,Fibra_otica,N,S,N,S,N,N,Mes-a-mes,S,Cartao_Credito,85.2,2151.6,N
1091-SOZGA,F,0,S,S,56,S,S,Fibra_otica,N,N,S,N,S,S,Anual,S,Cartao_Credito,99.8,5515.45,N
2928-HLDBA,F,0,N,N,6,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.7,112.75,N
0404-SWRVG,M,0,N,N,3,S,S,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,74.4,229.55,S
6497-TILVL,F,0,S,S,7,S,N,DSL,S,N,N,N,N,N,Mes-a-mes,N,Cheque_Fisico,50.7,350.35,N
7219-TLZHO,F,0,S,S,4,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,20.85,62.9,N
4622-YNKIJ,M,0,N,N,33,S,N,Fibra_otica,S,N,N,S,S,N,Bi-Anual,S,Cheque_Eletronico ,88.95,3027.65,N
4412-YLTKF,F,1,N,N,27,S,S,Fibra_otica,N,N,S,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,78.05,2135.5,S
6734-PSBAW,M,0,S,N,72,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Transferencia_bancaria,23.55,1723.95,N
3930-ZGWVE,M,0,N,N,1,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,19.75,19.75,N
2639-UGMAZ,M,1,N,N,71,N,Sem_Telefone,DSL,S,S,N,N,S,S,Anual,S,Cheque_Eletronico ,56.45,3985.35,N
2876-GZYZC,F,0,N,N,13,S,S,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,85.95,1215.65,N
6207-WIOLX,F,0,S,S,25,N,Sem_Telefone,DSL,S,S,S,N,S,S,Mes-a-mes,S,Cartao_Credito,58.6,1502.65,S
8587-XYZSF,M,0,N,N,67,S,N,DSL,N,N,N,S,N,N,Bi-Anual,N,Transferencia_bancaria,50.55,3260.1,N
3091-FYHKI,M,0,N,N,1,N,Sem_Telefone,DSL,N,N,N,N,N,S,Mes-a-mes,S,Cheque_Eletronico ,35.45,35.45,S
2372-HWUHI,M,0,N,N,2,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,44.35,81.25,S
7799-LGRDP,F,0,N,N,43,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Cartao_Credito,25.7,1188.2,N
7850-VWJUU,F,0,N,N,23,S,N,Fibra_otica,S,N,N,N,N,N,Mes-a-mes,S,Transferencia_bancaria,75.0,1778.5,N
3774-VBNXY,F,0,S,S,64,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Cheque_Fisico,20.2,1277.75,N
6217-KDYWC,M,0,N,S,57,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,S,Cheque_Fisico,19.6,1170.55,N
0390-DCFDQ,F,1,S,N,1,S,N,Fibra_otica,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Fisico,70.45,70.45,S
3146-MSEGF,F,1,S,S,72,S,S,DSL,S,S,S,S,S,S,Bi-Anual,S,Cartao_Credito,88.05,6425.65,N
4080-OGPJL,F,0,N,N,8,S,S,DSL,S,N,N,S,N,S,Mes-a-mes,N,Cheque_Eletronico ,71.15,563.65,S
1095-WGNGG,F,0,S,N,61,S,S,Fibra_otica,N,S,N,N,S,S,Bi-Anual,S,Transferencia_bancaria,101.05,5971.25,N
2636-SJDOU,M,0,N,N,64,S,S,Fibra_otica,S,S,N,N,N,N,Anual,S,Cartao_Credito,84.3,5289.05,N
1131-QQZEB,M,1,S,N,71,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,23.95,1756.2,N
5716-EZXZN,F,0,S,S,65,S,S,Fibra_otica,S,S,N,S,S,N,Bi-Anual,S,Cartao_Credito,99.05,6416.7,N
6837-BJYDQ,M,0,N,N,3,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,19.6,61.35,N
2135-RXIHG,M,0,N,N,1,S,N,DSL,N,N,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,45.65,45.65,S
6440-DKQGE,M,0,N,S,30,S,N,DSL,N,S,S,N,S,N,Anual,N,Cartao_Credito,64.5,1929.95,N
3466-BYAVD,M,0,S,S,15,S,N,DSL,N,S,S,S,N,S,Mes-a-mes,S,Cheque_Fisico,69.5,1071.4,N
3780-YVMFA,F,0,S,S,8,S,N,DSL,N,N,N,S,S,S,Mes-a-mes,S,Cheque_Eletronico ,68.55,564.35,N
3874-EQOEP,M,0,N,N,7,S,S,Fibra_otica,N,N,N,N,S,S,Mes-a-mes,N,Cheque_Fisico,95.0,655.5,S
1679-JRFBR,F,0,S,S,70,S,S,Fibra_otica,S,S,S,N,S,S,Anual,S,Cartao_Credito,108.15,7930.55,N
9073-ZZIAY,M,0,S,S,62,S,N,DSL,S,S,S,S,S,S,Bi-Anual,N,Cheque_Eletronico ,86.1,5215.25,N
3077-RSNTJ,F,0,S,S,6,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Mes-a-mes,N,Cheque_Fisico,19.7,113.5,N
6551-GNYDG,F,0,S,S,14,S,N,Fibra_otica,N,N,N,N,N,S,Mes-a-mes,S,Transferencia_bancaria,80.9,1152.8,N
9167-APMXZ,F,0,N,N,22,S,S,Fibra_otica,N,N,N,N,S,N,Mes-a-mes,S,Transferencia_bancaria,84.15,1821.95,N
2749-CTKAJ,M,0,S,S,22,S,N,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Anual,N,Cheque_Fisico,20.15,419.9,N
6371-NZYEG,M,0,S,S,16,S,N,DSL,S,N,S,N,S,N,Bi-Anual,N,Cheque_Fisico,64.25,1024.0,N
7554-NEWDD,M,0,N,N,10,S,S,N,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Sem_Servico_Internet,Bi-Anual,N,Transferencia_bancaria,25.7,251.6,N
8992-VONJD,F,0,N,S,13,S,N,DSL,S,S,N,N,N,N,Mes-a-mes,S,Cheque_Eletronico ,56.0,764.55,N
0867-MKZVY,F,0,S,N,20,S,S,Fibra_otica,S,N,N,N,N,N,Mes-a-mes,N,Cheque_Eletronico ,82.4,1592.35,S
